id,goal,domain,roadmap,difficulty,estimated_hours,prerequisites,learning_outcomes
2011,Game Developer (Unity),Game Development,"Game Design Principles: Core mechanics design; Player motivation theory; Game loops; Difficulty curves; Level design; Progression systems; Reward mechanisms; Game balance; Pacing; Player psychology; Narrative integration; Monetization models (F2P, premium, subscriptions) | Programming Fundamentals: C# language syntax; Object-oriented programming; Data structures (arrays, lists, dictionaries); Algorithms; Design patterns (Singleton, Observer, Factory, Command); SOLID principles; Debugging techniques; Code organization; Performance considerations | Unity Engine Basics: Unity interface; Scene hierarchy; GameObjects and Components; Prefabs; Transform system; Tags and layers; Asset management; Project structure; Build settings; Platform-specific considerations | Unity Scripting: MonoBehaviour lifecycle; Start and Update methods; Coroutines; Invoke and InvokeRepeating; Event functions; Custom components; Script execution order; Serialization; ScriptableObjects; Editor scripting | 2D Game Development: Sprites and textures; 2D physics; Colliders and triggers; Rigidbody2D; Sprite animation; Tilemap system; Parallax scrolling; 2D lighting; Pixel perfect camera; Sorting layers | 3D Game Development: 3D models and meshes; Materials and shaders; Lighting systems; Cameras and rendering; Terrain system; ProBuilder; Particle systems; Physics and collisions; Ragdoll physics; Character controllers | Animation System: Animator controller; Animation clips; Blend trees; Animation layers; State machines; Animation events; Inverse Kinematics (IK); Timeline; Cinemachine cameras; Animation retargeting | UI System: Canvas and UI elements; Event system; Button and input fields; Layouts; Anchors and pivots; World space UI; Scroll views; UI animations; UI performance; TextMeshPro | Audio Integration: Audio sources and listeners; Audio mixer; Sound effects; Background music; 3D spatial audio; Audio zones; Dynamic audio; Audio optimization; Music transitions; Adaptive audio | Game Physics: Rigidbody physics; Collision detection; Physics materials; Joints and constraints; Raycasting; Physics layers; Custom physics; Cloth simulation; Destructible objects; Vehicle physics | AI & Pathfinding: NavMesh system; NavMesh agents; Obstacle avoidance; Dynamic obstacles; AI state machines; Behavior trees; Finite State Machines; Enemy AI; NPC behavior; Flocking | Multiplayer & Networking: Photon Unity Network; Mirror networking; Client-server architecture; Network synchronization; RPCs; Lag compensation; Matchmaking; Lobby systems; Persistent data; Anti-cheat basics | Performance Optimization: Profiler usage; Draw call optimization; Batching; Object pooling; LOD systems; Occlusion culling; Memory management; Garbage collection; Mobile optimization; Asset optimization | Shader Programming: Shader basics; Surface shaders; Vertex and fragment shaders; Shader graph; HLSL/Cg; Lighting models; Special effects; Post-processing; Particle shaders; Compute shaders | Publishing & Distribution: Build optimization; Platform requirements; iOS/Android publishing; Steam integration; Console development; App store optimization; Analytics integration; Crash reporting; A/B testing; Live ops",Advanced,520,"Basic programming knowledge; Problem-solving skills; Creative thinking; Math fundamentals","Create complete games in Unity; Implement game mechanics; Optimize game performance; Develop for multiple platforms; Integrate multiplayer features; Publish games to app stores and platforms; Implement monetization; Create engaging gameplay experiences"
2012,iOS Developer (Swift),Mobile Development,"Swift Fundamentals: Swift syntax and language features; Optionals and optional chaining; Type safety; Value vs reference types; Closures; Enumerations; Protocols; Extensions; Generics; Error handling; Memory management; Access control | iOS SDK: UIKit framework; Foundation framework; SwiftUI basics; Combine framework; Core Data; Core Animation; Core Graphics; MapKit; AVFoundation; UserNotifications; StoreKit; HealthKit | UI Development: UIViewController lifecycle; Storyboards and XIBs; Auto Layout; Constraints; Stack views; Table views and collection views; Custom cells; Navigation patterns; Tab bars; Page views; Gesture recognizers; Animations | SwiftUI: Declarative syntax; Views and modifiers; State management; Bindings; Observable objects; Environment objects; Lists and forms; Navigation; Animations; Gestures; Combining SwiftUI and UIKit | Networking: URLSession; REST API consumption; JSON parsing; Codable protocol; Async/await; Error handling; Image downloading; Multipart requests; Upload and download tasks; Network reachability; Alamofire library | Data Persistence: UserDefaults; Keychain services; File system; Core Data models; Fetch requests; Relationships; Migrations; Core Data stack; Realm database; SQLite; Cloud sync | Architecture Patterns: MVC pattern; MVVM pattern; Coordinator pattern; VIPER architecture; Clean architecture; Dependency injection; Protocol-oriented programming; Composition over inheritance; Modular architecture | Advanced Swift: Protocol extensions; Associated types; Type erasure; Property wrappers; Result builders; Key paths; Dynamic member lookup; Opaque types; Phantom types; Advanced generics | Concurrency: Grand Central Dispatch (GCD); Operation queues; Async/await; Actors; Task groups; Structured concurrency; Background tasks; Thread safety; Race conditions; Deadlocks | Push Notifications: Local notifications; Remote notifications; APNS; Notification content; Notification actions; Rich notifications; Notification extensions; Silent push; Background refresh | Location Services: Core Location; GPS and positioning; Geofencing; Region monitoring; Heading; Location authorization; Background location; Maps integration; Geocoding | Camera & Media: AVFoundation camera; Photo library access; Image picker; Video recording; Audio recording; Media playback; Custom camera UI; Photo editing; Live photos; ARKit basics | App Store & Distribution: App signing; Certificates and provisioning; TestFlight; App Store Connect; App review guidelines; App metadata; Screenshots; In-app purchases; Subscriptions; App analytics | Testing: XCTest framework; Unit testing; UI testing; Test-driven development; Mocking; Code coverage; Continuous integration; Performance testing; Snapshot testing; Test automation | Performance & Optimization: Instruments profiling; Time profiler; Allocations; Leaks; Memory graph; View hierarchy debugging; Launch time optimization; Battery optimization; Network optimization; App size reduction",Advanced,500,"Programming fundamentals; macOS familiarity; Apple ecosystem knowledge; Problem-solving skills","Develop native iOS applications; Build beautiful UIs with SwiftUI and UIKit; Implement complex app architectures; Handle data persistence and networking; Deploy apps to App Store; Optimize app performance; Follow Apple's design guidelines; Implement Apple services"
2013,Android Developer (Kotlin),Mobile Development,"Kotlin Fundamentals: Kotlin syntax; Null safety; Data classes; Extension functions; Higher-order functions; Lambdas; Coroutines basics; Collections; Scope functions; Sealed classes; Object declarations; Companion objects | Android SDK: Activity lifecycle; Fragment lifecycle; Context; Intent system; Resources; Manifest configuration; Gradle build system; Android Jetpack; Material Design; Permissions; Background processing | UI Development: XML layouts; View and ViewGroup; ConstraintLayout; RecyclerView; ListView; ViewPager2; BottomNavigationView; DrawerLayout; CoordinatorLayout; Custom views; Animations; Transitions | Jetpack Compose: Composable functions; State management; Recomposition; Modifiers; Layouts; Lists; Navigation; Theming; Material Design 3; Side effects; Animation; Interop with Views | Architecture Components: ViewModel; LiveData; Room database; Data Binding; View Binding; Lifecycle; Navigation component; WorkManager; Paging; DataStore; App Startup | Networking: Retrofit; OkHttp; REST APIs; JSON parsing; Gson/Moshi; Coroutines for networking; Error handling; Caching; Image loading (Glide, Coil); GraphQL | Dependency Injection: Dagger basics; Hilt; Koin; Dependency graphs; Scopes; Modules; Component injection; Constructor injection; Field injection | Asynchronous Programming: Kotlin Coroutines; Suspend functions; Coroutine scopes; Dispatchers; Flow; StateFlow; SharedFlow; Channels; Async operations; Structured concurrency | Data Persistence: SharedPreferences; Room database; Entity relationships; Migrations; Type converters; DataStore; File storage; SQLite; Content providers; Data synchronization | Background Tasks: WorkManager; Foreground services; Background services; Job scheduling; AlarmManager; Broadcast receivers; Wake locks; Doze mode; Background restrictions | Push Notifications: Firebase Cloud Messaging; Notification channels; Notification styles; Custom notifications; Notification actions; Deep linking; Notification permissions | Location & Maps: Google Maps SDK; Location services; Fused Location Provider; Geofencing; Places API; Geocoding; Location permissions; Background location | Camera & Media: CameraX; Camera2 API; Image capture; Video recording; MediaStore; Scoped storage; Exoplayer; Media playback; Audio recording | Firebase Integration: Firebase Authentication; Cloud Firestore; Realtime Database; Cloud Storage; Cloud Functions; Analytics; Crashlytics; Remote Config; Performance Monitoring; Dynamic Links | Testing: JUnit; Espresso UI tests; Mockito; MockK; Test doubles; Instrumentation tests; Unit tests; Integration tests; Test coverage; CI/CD | Play Store & Distribution: App signing; App bundles; Release tracks; Google Play Console; App store optimization; In-app purchases; Subscriptions; Billing library; App updates; Feature delivery",Advanced,500,"Programming fundamentals; Object-oriented concepts; Mobile development interest; Problem-solving skills","Develop native Android applications; Build modern UIs with Jetpack Compose; Implement MVVM architecture; Handle data with Room and Retrofit; Deploy apps to Play Store; Optimize performance; Follow Material Design; Integrate Firebase services"
2014,Product Manager (Technical),Product Management,"Product Fundamentals: Product lifecycle; Product-market fit; Value proposition; Product vision; Product strategy; Roadmap planning; Prioritization frameworks (RICE, MoSCoW); OKRs and KPIs; Product discovery; Lean product principles | User Research: User interviews; Surveys; Usability testing; A/B testing; Analytics interpretation; User personas; Jobs-to-be-done framework; Customer journey mapping; Empathy mapping; Quantitative vs qualitative research; Research synthesis | Market Analysis: Competitive analysis; Market sizing; TAM, SAM, SOM; SWOT analysis; Porter's Five Forces; Market trends; Industry research; Customer segmentation; Positioning and messaging; Go-to-market strategy | Product Strategy: Vision and mission; Strategy frameworks; North Star metric; Product positioning; Differentiation; Pricing strategy; Business model; Growth strategy; Market entry; Platform strategy | Requirements & Specifications: User stories; Acceptance criteria; PRD writing; Feature specifications; Use cases; Technical requirements; API specifications; Edge cases; Requirements prioritization; Backlog management | Agile & Scrum: Scrum framework; Sprint planning; Daily standups; Sprint reviews; Retrospectives; User story estimation; Story points; Velocity; Kanban; Lean principles; Continuous improvement | Stakeholder Management: Executive communication; Engineering collaboration; Design partnership; Sales enablement; Marketing alignment; Customer success; Managing up; Influence without authority; Conflict resolution; Presentation skills | Data & Analytics: Product metrics; KPI definition; Funnel analysis; Cohort analysis; Retention metrics; Churn analysis; SQL basics; Analytics tools (Mixpanel, Amplitude); A/B test design; Statistical significance; Data-driven decisions | Technical Knowledge: Software architecture basics; API concepts; Database fundamentals; Frontend/backend understanding; Mobile vs web; Cloud computing basics; DevOps basics; Security considerations; Technical feasibility; Technical debt | UX & Design: Design thinking; User-centered design; Wireframing basics; Prototyping; Design systems; Accessibility; Usability principles; Design collaboration; Design reviews; Visual design basics | Product Development: Feature ideation; Concept validation; MVP definition; Build vs buy; Technical tradeoffs; Scope management; Risk management; Change management; Quality assurance; Launch planning | Go-to-Market: Launch strategy; Marketing collaboration; Sales enablement; Pricing and packaging; Beta testing; Early adopters; Launch metrics; Post-launch analysis; Customer education; Feedback loops | Growth & Optimization: Growth frameworks; AARRR metrics; Viral loops; Referral programs; Onboarding optimization; Activation strategies; Retention tactics; Monetization; Product-led growth; Experimentation | Communication: Written communication; Verbal presentations; Visual communication; Storytelling; Influence; Negotiation; Feedback delivery; Active listening; Cross-functional alignment; Executive updates | Business Acumen: P&L understanding; Unit economics; LTV/CAC; Revenue models; Cost structures; Financial modeling; Business cases; ROI calculation; Pricing strategy; Budgeting",Intermediate,400,"Business or technical background; Analytical thinking; Communication skills; Problem-solving ability; Curiosity","Define product vision and strategy; Prioritize features; Collaborate with cross-functional teams; Make data-driven decisions; Manage product roadmap; Launch successful products; Drive product growth; Communicate with stakeholders"
2015,Site Reliability Engineer (SRE),DevOps,"SRE Fundamentals: SRE principles; Service Level Objectives (SLO); Service Level Indicators (SLI); Service Level Agreements (SLA); Error budgets; Toil reduction; Reliability engineering; Incident management; On-call practices; Postmortem culture | Linux & Systems: Linux system administration; Shell scripting; System calls; Process management; Memory management; File systems; Networking stack; Performance tuning; Kernel basics; System security | Programming: Python for automation; Go for systems programming; Bash scripting; Data structures; Algorithms; Testing; Code review; Version control; Software engineering practices | Distributed Systems: Distributed system concepts; CAP theorem; Consistency models; Consensus algorithms; Distributed transactions; Microservices; Service mesh; Load balancing; Caching strategies; Database replication | Monitoring & Observability: Prometheus monitoring; Grafana dashboards; Alert design; Log aggregation (ELK, Loki); Distributed tracing (Jaeger, Zipkin); Metrics collection; Custom instrumentation; SLI/SLO monitoring; Observability best practices | Incident Management: Incident response; On-call rotations; Escalation procedures; Communication protocols; Incident severity; War rooms; Status pages; Blameless postmortems; Root cause analysis; Action items | Automation: Infrastructure as Code; Configuration management; CI/CD pipelines; Automated testing; Automated remediation; Runbook automation; Self-healing systems; Automated rollbacks; Deployment automation | Cloud Platforms: AWS fundamentals; Google Cloud; Azure; Multi-cloud; Cloud networking; Cloud security; Cloud cost optimization; Serverless; Cloud monitoring; Cloud automation | Container Orchestration: Kubernetes deep dive; Cluster management; Pod scheduling; Resource management; Networking (CNI); Storage (CSI); RBAC; Operators; Helm; Multi-cluster management | Capacity Planning: Traffic forecasting; Resource utilization; Scaling strategies; Performance testing; Load testing; Bottleneck identification; Growth planning; Cost optimization; Resource allocation | Networking: TCP/IP deep dive; DNS; Load balancing; CDN; HTTP/HTTPS; TLS/SSL; Network troubleshooting; Network security; Service mesh; API gateway | Database Operations: Database reliability; Backup and recovery; Replication; Failover; Query optimization; Database monitoring; Capacity planning; Schema migrations; Database security; Multi-region databases | Security: Security best practices; Vulnerability management; Secrets management; Access control; Network security; Encryption; Compliance; Security monitoring; Incident response; Penetration testing | Performance Engineering: Performance metrics; Profiling; Bottleneck analysis; Optimization techniques; Caching; CDN; Database optimization; Application tuning; Resource efficiency | Chaos Engineering: Chaos principles; Fault injection; Resilience testing; Gameday exercises; Chaos tools; Blast radius; Recovery procedures; Resilience patterns; Testing in production",Advanced,550,"Linux fundamentals; Programming basics; Networking knowledge; System administration experience; Problem-solving skills","Ensure system reliability and uptime; Design scalable systems; Implement monitoring and alerting; Automate operational tasks; Manage incidents effectively; Reduce toil; Optimize performance; Balance reliability and velocity; Lead capacity planning"
2016,QA Automation Engineer,Quality Assurance,"Testing Fundamentals: Software testing principles; Test levels; Test types; Test design techniques; Defect lifecycle; Test planning; Test estimation; Test metrics; Quality assurance vs quality control; Shift-left testing | Programming: Python/Java/JavaScript; Object-oriented programming; Data structures; Algorithms; Design patterns; Code organization; Error handling; Debugging; Version control with Git | Test Automation: Automation frameworks; Page Object Model; Data-driven testing; Keyword-driven testing; Behavior-driven development; Test automation architecture; Maintainable test code; Reusable components; Test data management | Web Automation: Selenium WebDriver; Locator strategies; Waits (implicit, explicit, fluent); Handling alerts; Frames and windows; JavaScript execution; Screenshot capture; Headless browsers; Cross-browser testing; Parallel execution | API Testing: REST API testing; Postman; REST Assured; API test automation; Request/response validation; Authentication testing; Status codes; Headers; JSON/XML parsing; Contract testing; Mock servers | Mobile Automation: Appium framework; iOS and Android testing; Mobile gestures; Native vs hybrid apps; Mobile web testing; Device farms; Cloud testing; Mobile-specific challenges; App installation; Emulators vs real devices | Test Frameworks: TestNG/JUnit; pytest; Jest; Test annotations; Test execution; Test suites; Test listeners; Test reporting; Assertions; Test fixtures; Parameterization | BDD & Cucumber: Gherkin syntax; Feature files; Step definitions; Cucumber framework; Scenario outlines; Tags; Hooks; Cucumber reporting; Living documentation; Behavior-driven development | CI/CD Integration: Jenkins integration; GitLab CI; GitHub Actions; Pipeline configuration; Automated test execution; Test reports in CI; Failed test notifications; Test parallelization; Scheduled runs; Docker in CI | Performance Testing: JMeter; Load testing; Stress testing; Performance metrics; Response times; Throughput; Concurrent users; Bottleneck identification; Performance analysis; k6 testing | Database Testing: SQL queries; Database validation; Data integrity; ETL testing; Stored procedure testing; Database connections in automation; Test data setup; Data cleanup | Web Technologies: HTML/CSS basics; DOM structure; JavaScript basics; Browser DevTools; Network inspection; XPath; CSS selectors; Web fundamentals; HTTP protocol; JSON/XML | Test Reporting: Test execution reports; Allure reports; ExtentReports; Dashboard creation; Metrics visualization; Test trends; Failure analysis; Test coverage; CI/CD reporting | Version Control & Collaboration: Git workflows; Branching strategies; Pull requests; Code review; Merge conflicts; Git best practices; Collaboration tools; Documentation | Advanced Topics: Visual testing; Accessibility testing; Security testing basics; Contract testing; Chaos testing; AI in testing; Test flakiness; Test optimization; Cloud testing platforms",Intermediate,450,"Programming basics; Testing fundamentals; Logical thinking; Attention to detail; Problem-solving skills","Design and implement test automation frameworks; Automate web and mobile applications; Integrate tests into CI/CD; Perform API and database testing; Analyze test results; Improve test coverage; Maintain test suites; Ensure product quality"
2017,Technical Writer,Technical Writing,"Writing Fundamentals: Technical writing principles; Clarity and conciseness; Active voice; Audience analysis; Information architecture; Document structure; Style guides; Grammar and punctuation; Editing and proofreading; Plain language | Documentation Types: User guides; API documentation; Developer documentation; Release notes; Installation guides; Troubleshooting guides; FAQs; Tutorials; How-to guides; Reference documentation; Quick start guides | Technical Knowledge: Software development basics; Programming concepts; API fundamentals; Database basics; Cloud computing; Version control; CI/CD; Networking basics; Security concepts; DevOps fundamentals | Documentation Tools: Markdown; reStructuredText; AsciiDoc; DITA; XML; Static site generators (Jekyll, Hugo, Sphinx); Documentation platforms (GitBook, ReadTheDocs); Confluence; Notion; Content management systems | API Documentation: REST API documentation; OpenAPI/Swagger; API reference; Authentication docs; Code examples; Request/response samples; Error documentation; SDKs; Postman collections; Interactive API docs | Developer Documentation: Getting started guides; Code examples; SDK documentation; Integration guides; Architecture documentation; Best practices; Sample applications; Troubleshooting; Migration guides | Docs-as-Code: Git for documentation; Documentation in repositories; Pull request workflow; Review processes; CI/CD for docs; Automated builds; Version control; Branching strategies; Documentation testing | Information Architecture: Content organization; Navigation design; Search optimization; Categorization; Taxonomy; Information hierarchy; User pathways; Content discovery; Cross-referencing | Visual Communication: Diagrams and flowcharts; Screenshots; Screencasts; GIFs; Architecture diagrams; Sequence diagrams; Tools (Lucidchart, Draw.io, Mermaid); Visual aids; Infographics | Content Strategy: Documentation planning; Content lifecycle; Maintenance strategy; Versioning; Deprecation; Content reuse; Localization; Accessibility; Content governance; Style consistency | User Research: User interviews; Surveys; Analytics; Feedback collection; Usability testing; Persona development; User journey mapping; Documentation metrics; Iterative improvement | Collaboration: Developer collaboration; Product team collaboration; Design collaboration; Stakeholder management; Subject matter experts; Technical reviews; Feedback incorporation; Cross-functional work | Publishing & Deployment: Static site deployment; Hosting solutions; CI/CD for docs; Versioning strategy; Search engine optimization; Analytics integration; Performance optimization; CDN; Multi-version docs | Quality Assurance: Technical accuracy; Completeness; Link checking; Code example testing; Accessibility testing; Readability testing; Peer review; User testing; Documentation testing | Advanced Topics: API design input; Developer experience; Documentation analytics; AI-assisted writing; Chatbots for docs; Video documentation; Interactive tutorials; Community-driven docs; Open source documentation",Intermediate,350,"Strong writing skills; Technical aptitude; Attention to detail; Learning ability; Communication skills","Create clear technical documentation; Write API documentation; Develop user guides; Implement docs-as-code workflows; Create visual documentation; Collaborate with engineers; Maintain documentation; Improve developer experience"
2018,Data Analyst,Data Analytics,"Data Fundamentals: Data types; Data structures; Data quality; Data cleaning; Data validation; Data governance; Data privacy; Data ethics; Descriptive statistics; Inferential statistics; Probability | SQL Mastery: SELECT queries; JOINs (inner, left, right, full); Aggregations (GROUP BY, HAVING); Subqueries; CTEs (Common Table Expressions); Window functions; Query optimization; Indexes; Database normalization; Data modeling | Excel/Spreadsheets: Advanced formulas; Pivot tables; VLOOKUP/XLOOKUP; Data validation; Conditional formatting; Charts and graphs; Power Query; Macros; What-if analysis; Array formulas | Python for Analysis: Pandas library; NumPy; Data manipulation; Data cleaning; Data transformation; Merging and joining; GroupBy operations; Time series analysis; File I/O; Jupyter notebooks | Data Visualization: Data visualization principles; Chart selection; Color theory; Dashboard design; Storytelling with data; Matplotlib; Seaborn; Plotly; Tableau; Power BI; Looker | Statistical Analysis: Descriptive statistics; Central tendency; Variance and standard deviation; Correlation; Regression analysis; Hypothesis testing; A/B testing; Statistical significance; Confidence intervals; P-values | Business Intelligence: KPI development; Metrics definition; Dashboard creation; Report automation; Executive reporting; Business requirements; Stakeholder communication; Data-driven storytelling | Data Cleaning: Missing data handling; Outlier detection; Data validation; Duplicate removal; Data standardization; Data transformation; Error correction; Data quality metrics | Exploratory Data Analysis: Data profiling; Distribution analysis; Correlation analysis; Pattern recognition; Anomaly detection; Data summarization; Hypothesis generation; Visual exploration | Database Concepts: Relational databases; ER diagrams; Primary and foreign keys; Normalization; Indexes; Views; Stored procedures; Database design; Query performance | BI Tools: Tableau Desktop; Power BI Desktop; Looker; Google Data Studio; Report building; Dashboard design; Data connections; Calculated fields; Filters; Parameters; Interactive visualizations | Data Warehousing: Star schema; Snowflake schema; Fact and dimension tables; ETL concepts; Data marts; OLAP; Data warehouse architecture; Data integration | Advanced Analytics: Predictive analytics basics; Time series forecasting; Cohort analysis; Funnel analysis; Customer segmentation; Churn analysis; Trend analysis; Basket analysis | Tools & Technologies: Git for analytics; Google Analytics; Excel macros; R basics; Google BigQuery; AWS data services; Azure data services; APIs for data; Web scraping basics | Communication & Presentation: Data storytelling; Executive presentations; Visualization best practices; Report writing; Insights communication; Stakeholder management; Business acumen; Translating data to insights",Intermediate,400,"Statistics basics; Excel proficiency; Analytical thinking; Problem-solving skills; Attention to detail","Analyze complex datasets; Create insightful visualizations; Build interactive dashboards; Write complex SQL queries; Communicate findings effectively; Support data-driven decisions; Identify trends and patterns; Automate reporting"
2019,Digital Marketing Specialist,Digital Marketing,"Marketing Fundamentals: Marketing principles; Consumer behavior; Market research; Brand positioning; Marketing funnel; Customer journey; Value proposition; Target audience; Marketing mix (4Ps); Competitive analysis | SEO (Search Engine Optimization): Keyword research; On-page SEO; Off-page SEO; Technical SEO; Link building; Content optimization; Google Search Console; SEO tools (Ahrefs, SEMrush, Moz); Local SEO; Mobile SEO; Core Web Vitals | Content Marketing: Content strategy; Content creation; Blog writing; Copywriting; Content calendar; Editorial planning; Content distribution; Content optimization; Storytelling; Brand voice; Content performance | Social Media Marketing: Platform strategies (Facebook, Instagram, LinkedIn, Twitter, TikTok); Community management; Social media content; Engagement tactics; Social listening; Influencer marketing; Social media advertising; Analytics; Crisis management | PPC (Pay-Per-Click): Google Ads; Keyword targeting; Ad copywriting; Bid strategies; Quality Score; Campaign structure; Display advertising; Remarketing; Shopping ads; Performance Max; A/B testing ads | Email Marketing: Email campaigns; List building; Segmentation; Personalization; Email automation; Drip campaigns; Newsletter design; A/B testing; Deliverability; Email metrics; Tools (Mailchimp, HubSpot, SendGrid) | Analytics & Measurement: Google Analytics 4; Data analysis; Conversion tracking; Event tracking; Goal setting; Attribution modeling; Custom reports; Dashboards; Data visualization; ROI measurement; KPI tracking | Conversion Rate Optimization: Landing page optimization; A/B testing; Multivariate testing; User experience; Call-to-action optimization; Form optimization; Heat maps; User testing; Funnel optimization; Tools (Optimizely, VWO) | Marketing Automation: Automation platforms; Workflow creation; Lead nurturing; Lead scoring; CRM integration; Behavioral triggers; Personalization; Multi-channel automation; Tools (HubSpot, Marketo, Pardot) | Social Media Advertising: Facebook Ads Manager; Instagram ads; LinkedIn Campaign Manager; Twitter ads; TikTok ads; Audience targeting; Lookalike audiences; Retargeting; Creative optimization; Budget management; Campaign optimization | Content Management: CMS platforms (WordPress, Webflow); Content publishing; SEO plugins; Website optimization; Basic HTML/CSS; Page builders; Media management; Content workflows | Influencer Marketing: Influencer identification; Outreach; Campaign management; Contract negotiation; Content collaboration; Performance tracking; Micro vs macro influencers; Platform selection | Marketing Tools: Google Tag Manager; Hootsuite; Buffer; Canva; Adobe Creative Suite basics; CRM systems; Project management tools; Collaboration tools | Video Marketing: Video content strategy; YouTube optimization; Video SEO; Video advertising; Video editing basics; Live streaming; Short-form video (Reels, TikTok); Video analytics | Emerging Trends: AI in marketing; Marketing automation; Voice search optimization; Chatbots; Programmatic advertising; Privacy and cookies; First-party data; Marketing in metaverse",Intermediate,420,"Marketing interest; Writing skills; Analytical thinking; Creativity; Digital literacy","Develop digital marketing strategies; Execute multi-channel campaigns; Optimize SEO and PPC; Create engaging content; Analyze marketing performance; Manage social media; Drive conversions; Measure ROI; Grow online presence"
2020,Graphic Designer,Design,"Design Fundamentals: Design principles (balance, contrast, hierarchy, alignment); Color theory; Typography; Composition; Gestalt principles; Grid systems; Visual hierarchy; White space; Proportion; Repetition | Adobe Creative Suite: Photoshop (layers, masks, adjustments, retouching); Illustrator (vectors, pen tool, shapes, typography); InDesign (layouts, master pages, paragraph styles); After Effects basics; XD for prototyping | Typography: Type anatomy; Font selection; Font pairing; Kerning and tracking; Leading; Hierarchy; Readability; Web typography; Variable fonts; Type licensing; Custom lettering | Color Theory: Color models (RGB, CMYK, HSB); Color harmony; Color psychology; Color accessibility; Brand colors; Color trends; Color correction; Gradients; Color systems | Layout Design: Grid systems; Composition techniques; Visual flow; Modular layouts; Magazine layouts; Poster design; Brochure design; Multi-page documents; Print layouts; Digital layouts | Branding & Identity: Logo design; Brand guidelines; Visual identity systems; Brand strategy; Rebranding; Logo variations; Brand applications; Stationery design; Brand consistency | Print Design: Print production; Bleeds and margins; Color modes (CMYK); Resolution and DPI; File formats; Print specifications; Pre-flight checks; Working with printers; Paper stocks; Finishing techniques | Digital Design: Web design principles; UI design basics; Social media graphics; Email design; Digital advertising; Banner ads; Responsive design awareness; Digital file formats; Screen vs print | Illustration: Vector illustration; Digital painting; Icon design; Character design; Editorial illustration; Infographic design; Pattern design; Hand lettering; Illustration styles | Photo Editing: Retouching; Color correction; Compositing; Masking techniques; Selection tools; Adjustment layers; Filters; Non-destructive editing; RAW processing; Photo manipulation | Packaging Design: 3D mockups; Dielines; Label design; Package structure; Material considerations; Sustainable packaging; Product photography; Retail presentation; Packaging trends | Motion Graphics: Animation principles; After Effects basics; Keyframes; Easing; Motion design; Video editing basics; Transitions; Text animation; Export settings | User Interface Basics: UI design principles; Icon design; Button design; Component design; Design systems; Mockups; Wireframes basics; Design handoff; Collaboration with developers | Professional Skills: Client communication; Design presentations; Critique giving/receiving; Time management; Project management; File organization; Backup strategies; Portfolio development; Case studies; Freelancing | Tools & Resources: Figma for collaboration; Canva; Sketch; Procreate; Font resources; Stock photos; Mockup generators; Design inspiration; Asset management",Intermediate,400,"Visual awareness; Creativity; Attention to detail; Color sensitivity; Learning ability","Create professional designs; Develop brand identities; Design for print and digital; Master Adobe Creative Suite; Work with typography; Manage design projects; Communicate visually; Build design portfolios; Work with clients"

