id,goal,domain,roadmap
11,Frontend Dev - Path Variant 11,Frontend Development,"Foundations: HTML5 semantic tags; Accessibility basics (WCAG); Responsive design; CSS Flexbox; CSS Box model; CSS Grid | JavaScript Core: Closures & scope; DOM manipulation; Prototypes & inheritance; Async JS: Promises/async-await; Event loop & call stack; ES6+: let/const, arrow functions | Frameworks: Performance optimization (memo, lazy); Capstone: Build a Frontend Dev portfolio project integrating core skills; React: JSX, components, hooks; Routing & lazy loading; State management: Context/Redux | Styling & UX: CSS-in-JS; Design systems; Component libraries (Material, Chakra); Tailwind / utility CSS | Testing & Tooling: ESLint/Prettier; Jest & React Testing Library; CICD for frontend; Webpack/Vite basics; Capstone: Build a Frontend Dev portfolio project integrating core skills | Deployment: CDN usage; Build optimization; A/B testing basics; Monitoring & Sentry"
12,Frontend Dev - Path Variant 12,Frontend Development,"Foundations: Accessibility basics (WCAG); Responsive design; CSS Grid; HTML5 semantic tags; CSS Flexbox; CSS Box model | JavaScript Core: Async JS: Promises/async-await; Event loop & call stack; ES6+: let/const, arrow functions; Prototypes & inheritance; Closures & scope; DOM manipulation | Frameworks: State management: Context/Redux; Performance optimization (memo, lazy); React: JSX, components, hooks; Routing & lazy loading | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); CSS-in-JS; Design systems | Testing & Tooling: Jest & React Testing Library; CICD for frontend; Webpack/Vite basics; ESLint/Prettier | Deployment: CDN usage; Build optimization; Monitoring & Sentry; Capstone: Build a Frontend Dev portfolio project integrating core skills; A/B testing basics"
13,React Developer - Path Variant 1,Frontend Development,"Foundations: CSS Flexbox; CSS Grid; Capstone: Build a React Developer portfolio project integrating core skills; HTML5 semantic tags; Responsive design; CSS Box model; Accessibility basics (WCAG) | JavaScript Core: Async JS: Promises/async-await; Closures & scope; Event loop & call stack; DOM manipulation; Prototypes & inheritance; ES6+: let/const, arrow functions | Frameworks: Performance optimization (memo, lazy); React: JSX, components, hooks; Routing & lazy loading; State management: Context/Redux | Styling & UX: Tailwind / utility CSS; CSS-in-JS; Design systems; Component libraries (Material, Chakra) | Testing & Tooling: CICD for frontend; Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier | Deployment: Monitoring & Sentry; CDN usage; A/B testing basics; Build optimization"
14,React Developer - Path Variant 2,Frontend Development,"Foundations: Responsive design; Accessibility basics (WCAG); HTML5 semantic tags; CSS Flexbox; CSS Box model; CSS Grid | JavaScript Core: Prototypes & inheritance; DOM manipulation; Event loop & call stack; Closures & scope; Async JS: Promises/async-await; ES6+: let/const, arrow functions | Frameworks: Performance optimization (memo, lazy); Routing & lazy loading; React: JSX, components, hooks; State management: Context/Redux | Styling & UX: CSS-in-JS; Design systems; Tailwind / utility CSS; Component libraries (Material, Chakra) | Testing & Tooling: Jest & React Testing Library; CICD for frontend; ESLint/Prettier; Webpack/Vite basics | Deployment: CDN usage; A/B testing basics; Build optimization; Monitoring & Sentry"
15,React Developer - Path Variant 3,Frontend Development,"Foundations: Responsive design; CSS Grid; HTML5 semantic tags; Accessibility basics (WCAG); CSS Box model; CSS Flexbox | JavaScript Core: Closures & scope; ES6+: let/const, arrow functions; DOM manipulation; Async JS: Promises/async-await; Event loop & call stack; Prototypes & inheritance | Frameworks: Routing & lazy loading; React: JSX, components, hooks; Performance optimization (memo, lazy); State management: Context/Redux | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); Design systems; CSS-in-JS | Testing & Tooling: CICD for frontend; ESLint/Prettier; Webpack/Vite basics; Jest & React Testing Library | Deployment: A/B testing basics; CDN usage; Monitoring & Sentry; Build optimization"
16,React Developer - Path Variant 4,Frontend Development,"Foundations: HTML5 semantic tags; Responsive design; CSS Box model; CSS Flexbox; CSS Grid; Accessibility basics (WCAG) | JavaScript Core: Event loop & call stack; ES6+: let/const, arrow functions; Prototypes & inheritance; DOM manipulation; Async JS: Promises/async-await; Closures & scope | Frameworks: Performance optimization (memo, lazy); React: JSX, components, hooks; State management: Context/Redux; Routing & lazy loading | Styling & UX: CSS-in-JS; Design systems; Component libraries (Material, Chakra); Tailwind / utility CSS | Testing & Tooling: ESLint/Prettier; Jest & React Testing Library; Webpack/Vite basics; CICD for frontend | Deployment: A/B testing basics; Build optimization; Monitoring & Sentry; CDN usage"
17,React Developer - Path Variant 5,Frontend Development,"Foundations: CSS Box model; CSS Grid; HTML5 semantic tags; CSS Flexbox; Responsive design; Accessibility basics (WCAG) | JavaScript Core: Async JS: Promises/async-await; Prototypes & inheritance; ES6+: let/const, arrow functions; DOM manipulation; Event loop & call stack; Closures & scope | Frameworks: State management: Context/Redux; React: JSX, components, hooks; Routing & lazy loading; Performance optimization (memo, lazy) | Styling & UX: CSS-in-JS; Component libraries (Material, Chakra); Design systems; Tailwind / utility CSS | Testing & Tooling: CICD for frontend; Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier | Deployment: Monitoring & Sentry; A/B testing basics; CDN usage; Build optimization"
18,React Developer - Path Variant 6,Frontend Development,"Foundations: CSS Box model; Capstone: Build a React Developer portfolio project integrating core skills; CSS Flexbox; HTML5 semantic tags; CSS Grid; Responsive design; Accessibility basics (WCAG) | JavaScript Core: Event loop & call stack; Prototypes & inheritance; DOM manipulation; Closures & scope; Async JS: Promises/async-await; ES6+: let/const, arrow functions | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Routing & lazy loading; Performance optimization (memo, lazy) | Styling & UX: Design systems; Tailwind / utility CSS; CSS-in-JS; Component libraries (Material, Chakra) | Testing & Tooling: Jest & React Testing Library; CICD for frontend; Webpack/Vite basics; ESLint/Prettier | Deployment: CDN usage; Build optimization; Monitoring & Sentry; A/B testing basics"
19,React Developer - Path Variant 7,Frontend Development,"Foundations: Accessibility basics (WCAG); Responsive design; CSS Grid; CSS Box model; CSS Flexbox; HTML5 semantic tags | JavaScript Core: Async JS: Promises/async-await; Prototypes & inheritance; Event loop & call stack; Closures & scope; ES6+: let/const, arrow functions; DOM manipulation | Frameworks: Performance optimization (memo, lazy); React: JSX, components, hooks; Routing & lazy loading; State management: Context/Redux | Styling & UX: CSS-in-JS; Tailwind / utility CSS; Capstone: Build a React Developer portfolio project integrating core skills; Design systems; Component libraries (Material, Chakra) | Testing & Tooling: Jest & React Testing Library; Webpack/Vite basics; CICD for frontend; ESLint/Prettier | Deployment: A/B testing basics; CDN usage; Monitoring & Sentry; Build optimization"
20,React Developer - Path Variant 8,Frontend Development,"Foundations: Responsive design; HTML5 semantic tags; CSS Box model; CSS Grid; Accessibility basics (WCAG); CSS Flexbox | JavaScript Core: Event loop & call stack; Closures & scope; ES6+: let/const, arrow functions; DOM manipulation; Async JS: Promises/async-await; Prototypes & inheritance | Frameworks: State management: Context/Redux; React: JSX, components, hooks; Routing & lazy loading; Performance optimization (memo, lazy) | Styling & UX: Component libraries (Material, Chakra); CSS-in-JS; Design systems; Tailwind / utility CSS | Testing & Tooling: Webpack/Vite basics; ESLint/Prettier; CICD for frontend; Jest & React Testing Library | Deployment: Monitoring & Sentry; Capstone: Build a React Developer portfolio project integrating core skills; Build optimization; CDN usage; A/B testing basics"
21,React Developer - Path Variant 9,Frontend Development,"Foundations: HTML5 semantic tags; Responsive design; Accessibility basics (WCAG); CSS Flexbox; CSS Grid; CSS Box model | JavaScript Core: DOM manipulation; Event loop & call stack; Closures & scope; ES6+: let/const, arrow functions; Prototypes & inheritance; Async JS: Promises/async-await | Frameworks: Routing & lazy loading; Performance optimization (memo, lazy); State management: Context/Redux; React: JSX, components, hooks | Styling & UX: Tailwind / utility CSS; Design systems; Component libraries (Material, Chakra); CSS-in-JS | Testing & Tooling: ESLint/Prettier; CICD for frontend; Webpack/Vite basics; Jest & React Testing Library | Deployment: CDN usage; Build optimization; Monitoring & Sentry; A/B testing basics"
22,React Developer - Path Variant 10,Frontend Development,"Foundations: Responsive design; HTML5 semantic tags; Accessibility basics (WCAG); CSS Flexbox; CSS Grid; CSS Box model | JavaScript Core: Prototypes & inheritance; DOM manipulation; Async JS: Promises/async-await; Closures & scope; ES6+: let/const, arrow functions; Event loop & call stack | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Performance optimization (memo, lazy); Routing & lazy loading | Styling & UX: Component libraries (Material, Chakra); Design systems; CSS-in-JS; Tailwind / utility CSS | Testing & Tooling: ESLint/Prettier; CICD for frontend; Capstone: Build a React Developer portfolio project integrating core skills; Jest & React Testing Library; Webpack/Vite basics | Deployment: Build optimization; CDN usage; Monitoring & Sentry; A/B testing basics"
23,React Developer - Path Variant 11,Frontend Development,"Foundations: Capstone: Build a React Developer portfolio project integrating core skills; Responsive design; CSS Box model; CSS Grid; HTML5 semantic tags; CSS Flexbox; Accessibility basics (WCAG) | JavaScript Core: Event loop & call stack; ES6+: let/const, arrow functions; DOM manipulation; Closures & scope; Async JS: Promises/async-await; Prototypes & inheritance | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Performance optimization (memo, lazy); Routing & lazy loading | Styling & UX: Component libraries (Material, Chakra); CSS-in-JS; Tailwind / utility CSS; Design systems | Testing & Tooling: CICD for frontend; Webpack/Vite basics; ESLint/Prettier; Jest & React Testing Library | Deployment: Build optimization; CDN usage; Monitoring & Sentry; A/B testing basics"
24,React Developer - Path Variant 12,Frontend Development,"Foundations: Responsive design; HTML5 semantic tags; Accessibility basics (WCAG); CSS Box model; CSS Flexbox; CSS Grid | JavaScript Core: ES6+: let/const, arrow functions; Closures & scope; Async JS: Promises/async-await; DOM manipulation; Event loop & call stack; Prototypes & inheritance | Frameworks: Performance optimization (memo, lazy); Routing & lazy loading; React: JSX, components, hooks; State management: Context/Redux | Styling & UX: Tailwind / utility CSS; CSS-in-JS; Design systems; Component libraries (Material, Chakra) | Testing & Tooling: Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier; CICD for frontend | Deployment: Capstone: Build a React Developer portfolio project integrating core skills; Build optimization; Monitoring & Sentry; A/B testing basics; CDN usage"
25,Vue Specialist - Path Variant 1,Frontend Development,"Foundations: HTML5 semantic tags; CSS Box model; Accessibility basics (WCAG); CSS Grid; CSS Flexbox; Responsive design | JavaScript Core: ES6+: let/const, arrow functions; Async JS: Promises/async-await; Closures & scope; Prototypes & inheritance; DOM manipulation; Event loop & call stack | Frameworks: State management: Context/Redux; Performance optimization (memo, lazy); React: JSX, components, hooks; Routing & lazy loading | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); CSS-in-JS; Design systems | Testing & Tooling: Jest & React Testing Library; Webpack/Vite basics; ESLint/Prettier; CICD for frontend | Deployment: Monitoring & Sentry; Build optimization; A/B testing basics; CDN usage"
26,Vue Specialist - Path Variant 2,Frontend Development,"Foundations: Accessibility basics (WCAG); Responsive design; CSS Grid; CSS Box model; HTML5 semantic tags; CSS Flexbox | JavaScript Core: ES6+: let/const, arrow functions; Async JS: Promises/async-await; Event loop & call stack; Closures & scope; Prototypes & inheritance; DOM manipulation | Frameworks: Capstone: Build a Vue Specialist portfolio project integrating core skills; Performance optimization (memo, lazy); State management: Context/Redux; Routing & lazy loading; React: JSX, components, hooks | Styling & UX: Design systems; Component libraries (Material, Chakra); CSS-in-JS; Tailwind / utility CSS | Testing & Tooling: ESLint/Prettier; Webpack/Vite basics; Jest & React Testing Library; CICD for frontend | Deployment: CDN usage; A/B testing basics; Monitoring & Sentry; Build optimization"
27,Vue Specialist - Path Variant 3,Frontend Development,"Foundations: CSS Box model; Accessibility basics (WCAG); CSS Grid; HTML5 semantic tags; CSS Flexbox; Responsive design; Capstone: Build a Vue Specialist portfolio project integrating core skills | JavaScript Core: ES6+: let/const, arrow functions; Event loop & call stack; Prototypes & inheritance; Closures & scope; DOM manipulation; Async JS: Promises/async-await | Frameworks: React: JSX, components, hooks; Routing & lazy loading; State management: Context/Redux; Performance optimization (memo, lazy) | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); Design systems; CSS-in-JS | Testing & Tooling: CICD for frontend; Jest & React Testing Library; Webpack/Vite basics; ESLint/Prettier | Deployment: CDN usage; Monitoring & Sentry; A/B testing basics; Build optimization"
28,Vue Specialist - Path Variant 4,Frontend Development,"Foundations: Responsive design; CSS Flexbox; Accessibility basics (WCAG); CSS Grid; Capstone: Build a Vue Specialist portfolio project integrating core skills; CSS Box model; HTML5 semantic tags | JavaScript Core: ES6+: let/const, arrow functions; Event loop & call stack; Async JS: Promises/async-await; DOM manipulation; Prototypes & inheritance; Closures & scope | Frameworks: Capstone: Build a Vue Specialist portfolio project integrating core skills; React: JSX, components, hooks; Performance optimization (memo, lazy); Routing & lazy loading; State management: Context/Redux | Styling & UX: Component libraries (Material, Chakra); CSS-in-JS; Design systems; Tailwind / utility CSS | Testing & Tooling: CICD for frontend; Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier | Deployment: A/B testing basics; Build optimization; CDN usage; Capstone: Build a Vue Specialist portfolio project integrating core skills; Monitoring & Sentry"
29,Vue Specialist - Path Variant 5,Frontend Development,"Foundations: HTML5 semantic tags; CSS Box model; Responsive design; Accessibility basics (WCAG); CSS Grid; CSS Flexbox | JavaScript Core: Event loop & call stack; Closures & scope; Prototypes & inheritance; Async JS: Promises/async-await; ES6+: let/const, arrow functions; DOM manipulation | Frameworks: State management: Context/Redux; Routing & lazy loading; Performance optimization (memo, lazy); React: JSX, components, hooks | Styling & UX: Component libraries (Material, Chakra); Tailwind / utility CSS; Design systems; CSS-in-JS | Testing & Tooling: Jest & React Testing Library; Webpack/Vite basics; CICD for frontend; ESLint/Prettier | Deployment: Build optimization; A/B testing basics; Monitoring & Sentry; CDN usage"
30,Vue Specialist - Path Variant 6,Frontend Development,"Foundations: Responsive design; CSS Flexbox; CSS Box model; Accessibility basics (WCAG); HTML5 semantic tags; CSS Grid | JavaScript Core: DOM manipulation; Prototypes & inheritance; Async JS: Promises/async-await; Closures & scope; ES6+: let/const, arrow functions; Event loop & call stack | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Performance optimization (memo, lazy); Routing & lazy loading | Styling & UX: Design systems; Component libraries (Material, Chakra); Tailwind / utility CSS; CSS-in-JS | Testing & Tooling: CICD for frontend; ESLint/Prettier; Jest & React Testing Library; Webpack/Vite basics | Deployment: A/B testing basics; CDN usage; Monitoring & Sentry; Build optimization"
31,Vue Specialist - Path Variant 7,Frontend Development,"Foundations: HTML5 semantic tags; Accessibility basics (WCAG); CSS Grid; CSS Flexbox; Responsive design; CSS Box model | JavaScript Core: DOM manipulation; Event loop & call stack; Async JS: Promises/async-await; Prototypes & inheritance; Closures & scope; ES6+: let/const, arrow functions | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Routing & lazy loading; Performance optimization (memo, lazy) | Styling & UX: Component libraries (Material, Chakra); CSS-in-JS; Design systems; Tailwind / utility CSS; Capstone: Build a Vue Specialist portfolio project integrating core skills | Testing & Tooling: CICD for frontend; ESLint/Prettier; Webpack/Vite basics; Jest & React Testing Library | Deployment: CDN usage; Monitoring & Sentry; Capstone: Build a Vue Specialist portfolio project integrating core skills; A/B testing basics; Build optimization"
32,Vue Specialist - Path Variant 8,Frontend Development,"Foundations: HTML5 semantic tags; CSS Grid; CSS Box model; Responsive design; CSS Flexbox; Accessibility basics (WCAG) | JavaScript Core: Prototypes & inheritance; ES6+: let/const, arrow functions; DOM manipulation; Event loop & call stack; Async JS: Promises/async-await; Closures & scope | Frameworks: Routing & lazy loading; Performance optimization (memo, lazy); React: JSX, components, hooks; State management: Context/Redux | Styling & UX: CSS-in-JS; Design systems; Tailwind / utility CSS; Component libraries (Material, Chakra) | Testing & Tooling: Jest & React Testing Library; ESLint/Prettier; CICD for frontend; Webpack/Vite basics | Deployment: Monitoring & Sentry; CDN usage; Build optimization; A/B testing basics"
33,Vue Specialist - Path Variant 9,Frontend Development,"Foundations: HTML5 semantic tags; Responsive design; CSS Box model; CSS Grid; Accessibility basics (WCAG); CSS Flexbox | JavaScript Core: Prototypes & inheritance; DOM manipulation; ES6+: let/const, arrow functions; Async JS: Promises/async-await; Closures & scope; Event loop & call stack | Frameworks: Routing & lazy loading; React: JSX, components, hooks; State management: Context/Redux; Capstone: Build a Vue Specialist portfolio project integrating core skills; Performance optimization (memo, lazy) | Styling & UX: Design systems; Tailwind / utility CSS; Component libraries (Material, Chakra); CSS-in-JS | Testing & Tooling: Webpack/Vite basics; ESLint/Prettier; Jest & React Testing Library; CICD for frontend | Deployment: Capstone: Build a Vue Specialist portfolio project integrating core skills; Build optimization; Monitoring & Sentry; A/B testing basics; CDN usage"
34,Vue Specialist - Path Variant 10,Frontend Development,"Foundations: CSS Box model; HTML5 semantic tags; Responsive design; CSS Grid; Accessibility basics (WCAG); CSS Flexbox; Capstone: Build a Vue Specialist portfolio project integrating core skills | JavaScript Core: ES6+: let/const, arrow functions; Prototypes & inheritance; Closures & scope; Async JS: Promises/async-await; DOM manipulation; Event loop & call stack | Frameworks: State management: Context/Redux; Performance optimization (memo, lazy); Routing & lazy loading; React: JSX, components, hooks | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); CSS-in-JS; Design systems | Testing & Tooling: ESLint/Prettier; CICD for frontend; Webpack/Vite basics; Jest & React Testing Library | Deployment: CDN usage; A/B testing basics; Build optimization; Monitoring & Sentry"
35,Vue Specialist - Path Variant 11,Frontend Development,"Foundations: Accessibility basics (WCAG); CSS Grid; CSS Box model; Responsive design; CSS Flexbox; HTML5 semantic tags | JavaScript Core: Event loop & call stack; Prototypes & inheritance; ES6+: let/const, arrow functions; Closures & scope; Capstone: Build a Vue Specialist portfolio project integrating core skills; Async JS: Promises/async-await; DOM manipulation | Frameworks: Routing & lazy loading; React: JSX, components, hooks; Capstone: Build a Vue Specialist portfolio project integrating core skills; State management: Context/Redux; Performance optimization (memo, lazy) | Styling & UX: CSS-in-JS; Component libraries (Material, Chakra); Tailwind / utility CSS; Design systems | Testing & Tooling: Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier; CICD for frontend | Deployment: Build optimization; CDN usage; A/B testing basics; Capstone: Build a Vue Specialist portfolio project integrating core skills; Monitoring & Sentry"
36,Vue Specialist - Path Variant 12,Frontend Development,"Foundations: HTML5 semantic tags; Responsive design; Accessibility basics (WCAG); CSS Box model; CSS Flexbox; CSS Grid | JavaScript Core: ES6+: let/const, arrow functions; Closures & scope; Capstone: Build a Vue Specialist portfolio project integrating core skills; Event loop & call stack; Prototypes & inheritance; DOM manipulation; Async JS: Promises/async-await | Frameworks: State management: Context/Redux; Capstone: Build a Vue Specialist portfolio project integrating core skills; React: JSX, components, hooks; Routing & lazy loading; Performance optimization (memo, lazy) | Styling & UX: Design systems; CSS-in-JS; Tailwind / utility CSS; Component libraries (Material, Chakra) | Testing & Tooling: ESLint/Prettier; CICD for frontend; Jest & React Testing Library; Webpack/Vite basics | Deployment: A/B testing basics; Build optimization; Monitoring & Sentry; CDN usage"
37,Accessibility Engineer - Path Variant 1,Frontend Development,"Foundations: CSS Grid; Responsive design; CSS Box model; CSS Flexbox; HTML5 semantic tags; Accessibility basics (WCAG) | JavaScript Core: Async JS: Promises/async-await; Prototypes & inheritance; DOM manipulation; ES6+: let/const, arrow functions; Closures & scope; Event loop & call stack | Frameworks: Performance optimization (memo, lazy); Routing & lazy loading; React: JSX, components, hooks; State management: Context/Redux | Styling & UX: CSS-in-JS; Tailwind / utility CSS; Component libraries (Material, Chakra); Design systems | Testing & Tooling: Jest & React Testing Library; CICD for frontend; ESLint/Prettier; Webpack/Vite basics | Deployment: A/B testing basics; CDN usage; Build optimization; Monitoring & Sentry"
38,Accessibility Engineer - Path Variant 2,Frontend Development,"Foundations: HTML5 semantic tags; Responsive design; CSS Flexbox; CSS Grid; Accessibility basics (WCAG); CSS Box model | JavaScript Core: Capstone: Build a Accessibility Engineer portfolio project integrating core skills; DOM manipulation; Closures & scope; Event loop & call stack; Prototypes & inheritance; ES6+: let/const, arrow functions; Async JS: Promises/async-await | Frameworks: React: JSX, components, hooks; State management: Context/Redux; Performance optimization (memo, lazy); Routing & lazy loading | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); CSS-in-JS; Design systems | Testing & Tooling: ESLint/Prettier; Jest & React Testing Library; CICD for frontend; Webpack/Vite basics | Deployment: Build optimization; CDN usage; Monitoring & Sentry; A/B testing basics"
